date,close
2020-01-27,149.04
2020-01-28,150.05
2020-01-29,149.6
2020-01-30,153.07
2020-01-31,149.54
2020-02-03,151.98
2020-02-04,153.77
2020-02-05,163.98
2020-02-06,164.2
2020-02-07,165.29
2020-02-10,168.38
2020-02-11,168.12
2020-02-12,169.12
2020-02-13,168.95
2020-02-14,172.08
2020-02-18,172.86
2020-02-19,173.82
2020-02-20,174.46
2020-02-21,171.01
2020-02-24,167.93
2020-02-25,163.75
2020-02-26,160.55
2020-02-27,154.55
2020-02-28,151.74
2020-03-02,158.73
2020-03-03,157.79
2020-03-04,165.4
2020-03-05,164.99
2020-03-06,161.44
2020-03-09,151.63
2020-03-10,163.43
2020-03-11,161.01
2020-03-12,155.15
2020-03-13,160.9
2020-03-16,147.96
2020-03-17,156.19
2020-03-18,158.63
2020-03-19,148.57
2020-03-20,134.33
2020-03-23,129.61
2020-03-24,142.23
2020-03-25,141.86
2020-03-26,151.01
2020-03-27,149.03
2020-03-30,156.05
2020-03-31,155.24
2020-04-01,147.08
2020-04-02,151.16
2020-04-03,156.21
2020-04-06,167.34
2020-04-07,167.18
2020-04-08,169.38
2020-04-09,170.16
2020-04-13,163.12
2020-04-14,168.0
2020-04-15,163.22
2020-04-16,165.41
2020-04-17,169.66
2020-04-20,166.67
2020-04-21,156.38
2020-04-22,159.64
2020-04-23,156.2
2020-04-24,159.11
2020-04-27,163.47
2020-04-28,160.35
2020-04-29,161.28
2020-04-30,163.55
2020-05-01,158.5
2020-05-04,162.03
2020-05-05,176.2
2020-05-06,178.5
2020-05-07,183.81
2020-05-08,182.79
2020-05-11,186.75
2020-05-12,185.26
2020-05-13,185.08
2020-05-14,185.23
2020-05-15,189.79
2020-05-18,190.91
2020-05-19,188.75
2020-05-20,190.47
2020-05-21,185.5
2020-05-22,186.92
2020-05-26,182.19
2020-05-27,176.72
2020-05-28,177.86
2020-05-29,180.86
2020-06-01,180.72
2020-06-02,182.6
2020-06-03,178.4
2020-06-04,178.07
2020-06-05,179.87
2020-06-08,176.29
2020-06-09,178.86
2020-06-10,182.34
2020-06-11,174.9
2020-06-12,172.25
2020-06-15,173.94
2020-06-16,175.89
2020-06-17,177.8
2020-06-18,179.81
2020-06-19,181.29
2020-06-22,183.17
2020-06-23,182.12
2020-06-24,179.69
2020-06-25,180.25
2020-06-26,178.49
2020-06-29,181.48
2020-06-30,184.03
2020-07-01,183.83
2020-07-02,184.51
2020-07-06,183.06
2020-07-07,179.82
2020-07-08,181.96
2020-07-09,182.3
2020-07-10,181.53
2020-07-13,178.38
2020-07-14,180.06
2020-07-15,180.13
2020-07-16,178.82
2020-07-17,181.58
2020-07-20,182.85
2020-07-21,183.28
2020-07-22,184.06
2020-07-23,181.77
2020-07-24,179.59
2020-07-27,180.7
2020-07-28,176.54
2020-07-29,180.75
2020-07-30,178.49
2020-07-31,178.3
2020-08-03,182.0
2020-08-04,179.59
2020-08-05,179.7
2020-08-06,182.43
2020-08-07,184.0
2020-08-10,183.78
2020-08-11,182.88
2020-08-12,187.86
2020-08-13,191.98
2020-08-14,194.36
2020-08-17,199.13
2020-08-18,197.67
2020-08-19,172.22
2020-08-20,168.2
2020-08-21,165.85
2020-08-24,164.73
2020-08-25,166.38
2020-08-26,167.26
2020-08-27,165.85
2020-08-28,167.48
2020-08-31,165.42
2020-09-01,164.36
2020-09-02,171.1
2020-09-03,165.7
2020-09-04,163.17
2020-09-08,158.51
2020-09-09,160.71
2020-09-10,156.04
2020-09-11,155.78
2020-09-14,158.47
2020-09-15,159.79
2020-09-16,155.67
2020-09-17,161.76
2020-09-18,161.83
2020-09-21,159.21
2020-09-22,163.12
2020-09-23,159.41
2020-09-24,157.62
2020-09-25,161.0
2020-09-28,162.72
2020-09-29,162.13
2020-09-30,162.59
2020-10-01,163.54
2020-10-02,161.56
2020-10-05,162.09
2020-10-06,162.06
2020-10-07,164.44
2020-10-08,164.32
2020-10-09,164.49
2020-10-12,164.71
2020-10-13,161.91
2020-10-14,160.93
2020-10-15,162.31
2020-10-16,162.26
2020-10-19,158.07
2020-10-20,159.25
2020-10-21,158.99
2020-10-22,157.81
2020-10-23,158.31
2020-10-26,154.12
2020-10-27,151.22
2020-10-28,149.57
2020-10-29,149.33
2020-10-30,148.25
2020-11-02,151.77
2020-11-03,156.15
2020-11-04,162.42
2020-11-05,153.66
2020-11-06,157.16
2020-11-09,158.83
2020-11-10,160.52
2020-11-11,161.08
2020-11-12,159.85
2020-11-13,161.48
2020-11-16,159.03
2020-11-17,158.85
2020-11-18,158.71
2020-11-19,161.52
2020-11-20,160.17
2020-11-23,159.99
2020-11-24,157.13
2020-11-25,157.87
2020-11-27,157.8
2020-11-30,160.86
2020-12-01,161.34
2020-12-02,159.98
2020-12-03,158.01
2020-12-04,158.48
2020-12-07,158.49
2020-12-08,160.0
2020-12-09,157.0
2020-12-10,153.84
2020-12-11,155.82
2020-12-14,157.38
2020-12-15,158.6
2020-12-16,159.17
2020-12-17,162.76
2020-12-18,161.63
2020-12-21,158.21
2020-12-22,154.72
2020-12-23,155.93
2020-12-24,157.69
2020-12-28,159.71
2020-12-29,159.28
2020-12-30,158.75
2020-12-31,161.99
2021-01-04,158.66
2021-01-05,159.11
2021-01-06,161.49
2021-01-07,164.94
2021-01-08,166.95
2021-01-11,164.98
2021-01-12,160.39
2021-01-13,157.89
2021-01-14,153.96
2021-01-15,154.55
2021-01-19,155.81
2021-01-20,154.76
2021-01-21,153.1
2021-01-22,151.5
2021-01-25,152.5
2021-01-26,154.87
2021-01-27,149.65
2021-01-28,148.82
2021-01-29,144.79
2021-02-01,148.48
2021-02-02,151.28
2021-02-03,149.44
2021-02-04,153.39
2021-02-05,152.91
2021-02-08,158.21
2021-02-09,149.51
2021-02-10,148.77
2021-02-11,148.64
2021-02-12,145.64
2021-02-16,146.24
2021-02-17,148.88
2021-02-18,152.71
2021-02-19,150.89
2021-02-22,152.86
2021-02-23,149.31
2021-02-24,151.64
2021-02-25,151.32
2021-02-26,148.44
2021-03-01,152.11
2021-03-02,151.67
2021-03-03,152.29
2021-03-04,147.3
2021-03-05,151.78
2021-03-08,151.0
2021-03-09,148.89
2021-03-10,149.47
2021-03-11,148.66
2021-03-12,150.69
2021-03-15,151.57
2021-03-16,151.07
2021-03-17,150.74
2021-03-18,148.4
2021-03-19,148.13
2021-03-22,149.23
2021-03-23,151.83
2021-03-24,153.92
2021-03-25,152.78
2021-03-26,155.19
2021-03-29,156.41
2021-03-30,153.4
2021-03-31,151.72
2021-04-01,154.59
2021-04-05,157.25
2021-04-06,155.32
2021-04-07,154.22
2021-04-08,155.55
2021-04-09,155.72
2021-04-12,155.76
2021-04-13,155.83
2021-04-14,153.81
2021-04-15,156.4
2021-04-16,158.84
2021-04-19,161.15
2021-04-20,163.85
2021-04-21,166.09
2021-04-22,167.21
2021-04-23,169.59
2021-04-26,168.19
2021-04-27,163.51
2021-04-28,163.57
2021-04-29,164.14
2021-04-30,162.83
2021-05-03,163.93
2021-05-04,158.57
2021-05-05,157.82
2021-05-06,158.47
2021-05-07,156.13
2021-05-10,158.86
2021-05-11,156.31
2021-05-12,155.11
2021-05-13,157.98
2021-05-14,157.32
2021-05-17,156.49
2021-05-18,155.61
2021-05-19,153.58
2021-05-20,155.38
2021-05-21,155.51
2021-05-24,156.81
2021-05-25,156.41
2021-05-26,156.5
2021-05-27,155.57
2021-05-28,154.15
2021-06-01,153.85
2021-06-02,155.52
2021-06-03,155.8
2021-06-04,157.8
2021-06-07,156.2
2021-06-08,158.23
2021-06-09,159.72
2021-06-10,163.13
2021-06-11,162.57
2021-06-14,163.33
2021-06-15,163.91
2021-06-16,164.61
2021-06-17,163.19
2021-06-18,164.55
2021-06-21,166.85
2021-06-22,165.71
2021-06-23,164.32
2021-06-24,164.45
2021-06-25,166.59
2021-06-28,165.24
2021-06-29,165.52
2021-06-30,163.51
2021-07-01,164.51
2021-07-02,165.82
2021-07-06,164.71
2021-07-07,166.81
2021-07-08,166.58
2021-07-09,167.38
