date,close
2020-01-27,28.5
2020-01-28,28.86
2020-01-29,28.47
2020-01-30,29.19
2020-01-31,28.45
2020-02-03,28.98
2020-02-04,29.48
2020-02-05,30.18
2020-02-06,29.66
2020-02-07,29.49
2020-02-10,29.4
2020-02-11,29.51
2020-02-12,29.64
2020-02-13,29.83
2020-02-14,29.6
2020-02-18,29.24
2020-02-19,29.64
2020-02-20,29.83
2020-02-21,29.4
2020-02-24,28.31
2020-02-25,27.07
2020-02-26,26.65
2020-02-27,25.19
2020-02-28,24.4
2020-03-02,25.72
2020-03-03,24.44
2020-03-04,25.17
2020-03-05,23.68
2020-03-06,22.2
2020-03-09,18.3
2020-03-10,19.26
2020-03-11,17.66
2020-03-12,15.9
2020-03-13,17.63
2020-03-16,13.79
2020-03-17,13.95
2020-03-18,11.67
2020-03-19,13.07
2020-03-20,12.91
2020-03-23,12.16
2020-03-24,14.41
2020-03-25,14.82
2020-03-26,17.32
2020-03-27,17.15
2020-03-30,15.87
2020-03-31,14.85
2020-04-01,13.46
2020-04-02,14.28
2020-04-03,13.44
2020-04-06,15.47
2020-04-07,15.86
2020-04-08,16.69
2020-04-09,17.82
2020-04-13,17.37
2020-04-14,17.15
2020-04-15,15.73
2020-04-16,14.77
2020-04-17,16.63
2020-04-20,16.68
2020-04-21,16.26
2020-04-22,16.5
2020-04-23,16.86
2020-04-24,17.12
2020-04-27,18.35
2020-04-28,18.58
2020-04-29,19.69
2020-04-30,18.69
2020-05-01,17.77
2020-05-04,17.64
2020-05-05,17.37
2020-05-06,16.78
2020-05-07,17.33
2020-05-08,18.09
2020-05-11,17.19
2020-05-12,16.29
2020-05-13,15.7
2020-05-14,16.33
2020-05-15,16.12
2020-05-18,17.87
2020-05-19,17.03
2020-05-20,17.7
2020-05-21,17.45
2020-05-22,17.61
2020-05-26,19.19
2020-05-27,20.97
2020-05-28,20.13
2020-05-29,19.39
2020-06-01,19.82
2020-06-02,20.21
2020-06-03,21.36
2020-06-04,22.71
2020-06-05,23.49
2020-06-08,24.77
2020-06-09,24.08
2020-06-10,22.4
2020-06-11,19.75
2020-06-12,20.8
2020-06-15,21.46
2020-06-16,22.04
2020-06-17,21.48
2020-06-18,21.59
2020-06-19,20.79
2020-06-22,21.02
2020-06-23,21.08
2020-06-24,19.89
2020-06-25,20.5
2020-06-26,18.76
2020-06-29,18.74
2020-06-30,19.28
2020-07-01,18.43
2020-07-02,18.57
2020-07-06,18.86
2020-07-07,18.06
2020-07-08,18.14
2020-07-09,17.39
2020-07-10,18.39
2020-07-13,18.7
2020-07-14,18.14
2020-07-15,19.17
2020-07-16,19.16
2020-07-17,18.76
2020-07-20,18.45
2020-07-21,19.36
2020-07-22,19.42
2020-07-23,19.41
2020-07-24,19.54
2020-07-27,19.42
2020-07-28,19.27
2020-07-29,20.0
2020-07-30,19.69
2020-07-31,19.86
2020-08-03,19.64
2020-08-04,19.49
2020-08-05,19.87
2020-08-06,19.78
2020-08-07,20.45
2020-08-10,21.03
2020-08-11,21.48
2020-08-12,21.3
2020-08-13,20.74
2020-08-14,20.96
2020-08-17,20.72
2020-08-18,20.08
2020-08-19,20.16
2020-08-20,19.78
2020-08-21,19.56
2020-08-24,20.5
2020-08-25,20.71
2020-08-26,20.31
2020-08-27,20.94
2020-08-28,21.11
2020-08-31,20.66
2020-09-01,20.85
2020-09-02,21.29
2020-09-03,21.11
2020-09-04,21.63
2020-09-08,21.0
2020-09-09,21.12
2020-09-10,20.63
2020-09-11,21.05
2020-09-14,22.25
2020-09-15,21.87
2020-09-16,22.05
2020-09-17,21.87
2020-09-18,21.74
2020-09-21,20.86
2020-09-22,20.11
2020-09-23,19.56
2020-09-24,19.61
2020-09-25,20.47
2020-09-28,21.34
2020-09-29,20.99
2020-09-30,21.32
2020-10-01,21.03
2020-10-02,21.89
2020-10-05,22.75
2020-10-06,22.52
2020-10-07,23.33
2020-10-08,23.71
2020-10-09,23.38
2020-10-12,23.52
2020-10-13,23.12
2020-10-14,22.73
2020-10-15,23.4
2020-10-16,23.26
2020-10-19,23.05
2020-10-20,23.75
2020-10-21,23.5
2020-10-22,23.96
2020-10-23,24.42
2020-10-26,23.45
2020-10-27,22.91
2020-10-28,22.44
2020-10-29,23.1
2020-10-30,23.22
2020-11-02,24.11
2020-11-03,24.51
2020-11-04,23.1
2020-11-05,24.0
2020-11-06,23.21
2020-11-09,26.56
2020-11-10,26.34
2020-11-11,25.72
2020-11-12,24.86
2020-11-13,25.39
2020-11-16,26.25
2020-11-17,26.05
2020-11-18,25.7
2020-11-19,25.88
2020-11-20,25.29
2020-11-23,26.01
2020-11-24,27.26
2020-11-25,26.68
2020-11-27,26.28
2020-11-30,25.34
2020-12-01,26.2
2020-12-02,26.59
2020-12-03,26.83
2020-12-04,27.4
2020-12-07,27.38
2020-12-08,27.26
2020-12-09,27.73
2020-12-10,27.78
2020-12-11,27.34
2020-12-14,26.62
2020-12-15,27.09
2020-12-16,27.25
2020-12-17,27.13
2020-12-18,26.63
2020-12-21,27.16
2020-12-22,26.93
2020-12-23,27.73
2020-12-24,27.58
