date,close
2020-01-27,40.16
2020-01-28,38.14
2020-01-29,37.58
2020-01-30,37.07
2020-01-31,37.24
2020-02-03,37.51
2020-02-04,37.69
2020-02-05,38.17
2020-02-06,38.26
2020-02-07,38.05
2020-02-10,37.81
2020-02-11,38.09
2020-02-12,37.74
2020-02-13,36.93
2020-02-14,36.51
2020-02-18,36.32
2020-02-19,36.23
2020-02-20,35.85
2020-02-21,35.72
2020-02-24,34.67
2020-02-25,33.93
2020-02-26,34.72
2020-02-27,34.1
2020-02-28,33.42
2020-03-02,34.88
2020-03-03,34.3
2020-03-04,36.4
2020-03-05,35.46
2020-03-06,35.02
2020-03-09,33.76
2020-03-10,34.59
2020-03-11,32.17
2020-03-12,30.02
2020-03-13,32.71
2020-03-16,30.18
2020-03-17,32.16
2020-03-18,32.36
2020-03-19,30.42
2020-03-20,29.01
2020-03-23,28.49
2020-03-24,29.7
2020-03-25,29.75
2020-03-26,31.75
2020-03-27,30.9
2020-03-30,32.67
2020-03-31,32.64
2020-04-01,31.75
2020-04-02,32.87
2020-04-03,33.64
2020-04-06,34.57
2020-04-07,33.61
2020-04-08,34.6
2020-04-09,35.39
2020-04-13,35.14
2020-04-14,36.44
2020-04-15,35.97
2020-04-16,35.88
2020-04-17,36.91
2020-04-20,36.08
2020-04-21,35.62
2020-04-22,36.25
2020-04-23,36.69
2020-04-24,37.38
2020-04-27,38.33
2020-04-28,37.91
2020-04-29,38.12
2020-04-30,38.36
2020-05-01,37.64
2020-05-04,37.62
2020-05-05,38.51
2020-05-06,38.51
2020-05-07,36.96
2020-05-08,37.22
2020-05-11,38.1
2020-05-12,37.36
2020-05-13,37.05
2020-05-14,37.92
2020-05-15,37.76
2020-05-18,38.07
2020-05-19,37.68
2020-05-20,37.63
2020-05-21,37.26
2020-05-22,37.5
2020-05-26,37.49
2020-05-27,37.41
2020-05-28,38.18
2020-05-29,38.19
2020-06-01,35.46
2020-06-02,36.16
2020-06-03,36.16
2020-06-04,36.01
2020-06-05,35.99
2020-06-08,36.59
2020-06-09,36.21
2020-06-10,35.92
2020-06-11,33.3
2020-06-12,33.75
2020-06-15,33.36
2020-06-16,33.4
2020-06-17,33.56
2020-06-18,33.24
2020-06-19,33.42
2020-06-22,33.11
2020-06-23,32.77
2020-06-24,32.19
2020-06-25,32.32
2020-06-26,32.04
2020-06-29,32.64
2020-06-30,32.7
2020-07-01,33.74
2020-07-02,34.51
2020-07-06,34.51
2020-07-07,34.03
2020-07-08,33.75
2020-07-09,33.46
2020-07-10,33.83
2020-07-13,35.21
2020-07-14,35.23
2020-07-15,35.72
2020-07-16,35.6
2020-07-17,36.25
2020-07-20,36.5
2020-07-21,36.69
2020-07-22,38.56
2020-07-23,38.41
2020-07-24,37.66
2020-07-27,37.54
2020-07-28,39.02
2020-07-29,39.26
2020-07-30,38.74
2020-07-31,38.48
2020-08-03,38.35
2020-08-04,38.39
2020-08-05,38.45
2020-08-06,38.27
2020-08-07,38.45
2020-08-10,38.39
2020-08-11,37.79
2020-08-12,38.33
2020-08-13,38.17
2020-08-14,38.06
2020-08-17,38.35
2020-08-18,38.36
2020-08-19,38.26
2020-08-20,38.72
2020-08-21,38.88
2020-08-24,38.84
2020-08-25,38.41
2020-08-26,38.05
2020-08-27,37.86
2020-08-28,37.91
2020-08-31,37.79
2020-09-01,36.88
